No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;
3;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Pelagibacterales;;;;;
3;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;;;;;
3;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;;;;;
3;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;;;;;
3;root;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Verrucomicrobiae;;;;;
3;root;cellular organisms;Bacteria;PVC group;Verrucomicrobia;Opitutae;;;;;
3;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;
3;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;;;;;
3;root;cellular organisms;Bacteria;PVC group;Planctomycetes;Phycisphaerae;;;;;
3;root;cellular organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;;;;;
3;root;cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;;;;;
3;root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;Gemmatimonadetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Candidatus Hydrogenedentes;unclassified Candidatus Hydrogenedentes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
3;root;cellular organisms;Bacteria;Elusimicrobia;unclassified Elusimicrobia;Elusimicrobia bacterium RIFOXYA2_FULL_39_19;;;;;
3;root;cellular organisms;Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales;;;;;
3;root;cellular organisms;Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;;;;;
3;root;cellular organisms;Bacteria;Acidobacteria;Blastocatellia;Chloracidobacterium;;;;;
3;root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;;;;;
3;root;cellular organisms;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;;;;;
3;root;cellular organisms;Archaea;TACK group;Thaumarchaeota;Nitrosopumilales;;;;;
3;root;cellular organisms;Archaea;TACK group;Crenarchaeota;Thermoprotei;;;;;
3;root;cellular organisms;Archaea;Euryarchaeota;unclassified Euryarchaeota;Marine Group II;;;;;
3;root;cellular organisms;Archaea;Euryarchaeota;unclassified Euryarchaeota;Candidatus Altiarchaeales;;;;;
3;root;cellular organisms;Archaea;Euryarchaeota;Halobacteria;;;;;;
3;root;cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;Candidatus Micrarchaeum;;;;;
3;root;cellular organisms;Archaea;Asgard group;Candidatus Thorarchaeota;Candidatus Thorarchaeota archaeon SMTZ1-83;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Ulvophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
2;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
2;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;
2;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;unclassified Bacillariophyta;;;;;
2;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Coscinodiscophyceae;;;;;
2;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Bacillariophyceae;;;;;
2;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Gracilariales;;;;;
2;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Corallinophycidae;;;;;
2;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;;;;;
2;root;cellular organisms;Eukaryota;Rhizaria;Cercozoa;Imbricatea;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Zoopagomycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Neurospora tetrasperma;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Magnaporthe grisea;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium tricinctum species complex;Fusarium avenaceum;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum f. sp. vasinfectum;Fusarium oxysporum f. sp. vasinfectum 25433;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum f. cubense;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum Fo47;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium fujikuroi species complex;Fusarium fujikuroi;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Chaetopsina acutispora;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Metarhizium robertsii;Metarhizium robertsii ARSEF 23;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Metarhizium guizhouense;Metarhizium guizhouense ARSEF 977;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Colletotrichum sublineola;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Colletotrichum simmondsii;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Colletotrichum fioriniae;Colletotrichum fioriniae PJ7;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Colletotrichum chlorophyti;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Glarea lozoyensis ATCC 20868;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Blumeria graminis f. sp. tritici;Blumeria graminis f. sp. tritici 96224;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Blumeria graminis f. sp. hordei;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Setosphaeria;Setosphaeria turcica;Setosphaeria turcica Et28A;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Pyrenophora;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Bipolaris;Bipolaris maydis;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aureobasidium pullulans;Aureobasidium pullulans EXF-150;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aureobasidium pullulans;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aureobasidium namibiae;Aureobasidium namibiae CBS 147.97;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Baudoinia panamericana;Baudoinia panamericana UAMH 10762;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Pseudocercospora fijiensis;Pseudocercospora fijiensis CIRAD86;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Rachicladosporium sp. CCFEE 5018;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Cladia;Cladia aggregata;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Coccidioides posadasii C735 delta SOWgp;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Coccidioides immitis RS;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Coccidioides immitis RMSCC 2394;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Trichophyton rubrum CBS 289.86;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Talaromyces marneffei PM1;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Penicillium rubens;Penicillium rubens Wisconsin 54-1255;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aspergillus nidulans FGSC A4;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aspergillus luchuensis CBS 106.47;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Cladophialophora yegresii CBS 114405;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Cladophialophora bantiana CBS 173.52;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Craspedida;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Acanthoecida;;;;;
2;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;Acanthoecida;;;;;
2;root;cellular organisms;Eukaryota;Jakobida;Stygiella;;;;;;
2;root;cellular organisms;Eukaryota;Haptophyceae;unclassified Haptophyceae;Haptophyceae sp. #8;;;;;
2;root;cellular organisms;Eukaryota;Haptophyceae;Isochrysidales;;;;;;
2;root;cellular organisms;Eukaryota;Fornicata;Diplomonadida;Hexamitidae;;;;;
2;root;cellular organisms;Eukaryota;Fornicata;Diplomonadida;Enteromonadidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;;;;;;
2;root;cellular organisms;Eukaryota;Euglenozoa;Euglenida;Euglenales;;;;;
2;root;cellular organisms;Eukaryota;Cryptophyta;Pyrenomonadales;Chroomonadaceae;;;;;
2;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Dictyosteliida;;;;;
2;root;cellular organisms;Eukaryota;Amoebozoa;Discosea;Himatismenida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Peridiniales;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Peridiniales;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Gymnodiniales;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Dinophyceae;Gonyaulacales;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Ciliophora;Intramacronucleata;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);methanotrophic endosymbiont of Bathymodiolus azoricus (Menez Gwen);;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);bacterium YEK0313;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);bacterium SCGC AG-212-C10;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Candidatus Vecturithrix;Candidatus Vecturithrix granuli;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Candidatus Moduliflexus;Candidatus Moduliflexus flocculans;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;candidate division WWE3;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;candidate division NC10;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Rokubacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Handelsmanbacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Firestonebacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Desantisbacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Desantisbacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Dependentiae;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Dadabacteria;;;;;
2;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Aminicenantes;;;;;
2;root;cellular organisms;Bacteria;environmental samples;uncultured bacterium (gcode 4);;;;;;
2;root;cellular organisms;Bacteria;Thermotogae;Thermotogae;Thermotogales;;;;;
2;root;cellular organisms;Bacteria;Thermotogae;Thermotogae;Kosmotogales;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Tenericutes;Mollicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;unclassified Firmicutes sensu stricto;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Erysipelotrichia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
2;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
